06-12-2017 | 11:11:33 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:11:34 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:11:40 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:11:41 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:11:44 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:11:44 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:11:46 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:11:47 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:11:49 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:11:51 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:12:30 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:12:31 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:12:33 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:12:46 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:12:56 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:13:09 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:13:10 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:13:15 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:14:39 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:14:40 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:14:43 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:14:44 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:14:45 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:14:46 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:15:13 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:15:14 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:15:16 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:15:17 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:15:19 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:15:20 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:16:54 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:17:52 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:19:00 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:19:04 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:19:15 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:19:56 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:20:26 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:20:58 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:21:00 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:21:03 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12%2000:00:00/to-2017-06-12%2023:59:59/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:21:04 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:21:06 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:21:07 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:21:54 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:21:55 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:21:58 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:22:08 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:22:39 |   192.168.4.23|user|Merchant All Transaction List|http://localhost/coupon/public/dashboard/merchnat-buy/coupon/list|Mozilla Firefox|windows|||
06-12-2017 | 11:22:40 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:22:44 |   192.168.4.23|user|Branch Transaction Pdf|http://localhost/coupon/public/dashboard/transaction/pdf/from-2017-06-12/to-2017-06-12/bid-0|Mozilla Firefox|windows|||
06-12-2017 | 11:22:45 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:22:46 |   192.168.4.23|user|Dashboard Merchant|http://localhost/coupon/public/dashboard/merchant|Mozilla Firefox|windows|||
06-12-2017 | 11:22:47 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:22:51 |   192.168.4.23|user|Logout|http://localhost/coupon/public/logout|Mozilla Firefox|windows|||
06-12-2017 | 11:22:53 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:22:54 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:22:55 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:23:00 |   192.168.4.23|user|LogIn|http://localhost/coupon/public/login|Mozilla Firefox|windows|||
06-12-2017 | 11:23:01 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
06-12-2017 | 11:23:02 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:23:03 |   192.168.4.23|user|Error 404|http://localhost/coupon/public/error/request|Mozilla Firefox|windows|||
06-12-2017 | 11:23:08 |   192.168.4.23|user|LogIn|http://localhost/coupon/public/login|Mozilla Firefox|windows|||
06-12-2017 | 11:23:09 |   192.168.4.23|user|AdminLogIn|http://localhost/coupon/public/adminlogin|Mozilla Firefox|windows|||
